Autodetected device type: cuda
2026-02-11 14:45:20,037 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-02-11 14:45:20,038 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/sun0115/.cache/nanochat/base_checkpoints/d18 with step 20000
2026-02-11 14:45:21,710 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 512, 'vocab_size': 32768, 'n_layer': 18, 'n_head': 18, 'n_kv_head': 18, 'n_embd': 1152, 'window_pattern': 'L'}
Tokens / micro-batch / rank: 4 x 2048 = 8,192
Tokens / micro-batch: 8,192
Total batch size 8,192 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1152/768) = 0.816497
Using AdamW-only mode for fine-tuning (no Muon)
Step 00000 | Validation bpb: 1.0861
step 00001 (0.33%) | loss: 1.832063 | lrm: 0.03 | dt: 5208.16ms | tok/sec: 1,572 | mfu: 0.33 | epoch: 1 | total time: 0.00m
step 00002 (0.67%) | loss: 2.434805 | lrm: 0.07 | dt: 15493.53ms | tok/sec: 528 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00003 (1.00%) | loss: 2.667840 | lrm: 0.10 | dt: 15394.66ms | tok/sec: 532 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00004 (1.33%) | loss: 3.299430 | lrm: 0.13 | dt: 12592.72ms | tok/sec: 650 | mfu: 0.14 | epoch: 1 | total time: 0.00m
step 00005 (1.67%) | loss: 3.565378 | lrm: 0.17 | dt: 15215.25ms | tok/sec: 538 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00006 (2.00%) | loss: 4.237435 | lrm: 0.20 | dt: 13321.43ms | tok/sec: 614 | mfu: 0.13 | epoch: 1 | total time: 0.00m
step 00007 (2.33%) | loss: 4.277233 | lrm: 0.23 | dt: 12648.58ms | tok/sec: 647 | mfu: 0.14 | epoch: 1 | total time: 0.00m
step 00008 (2.67%) | loss: 5.161584 | lrm: 0.27 | dt: 15467.42ms | tok/sec: 529 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00009 (3.00%) | loss: 5.128895 | lrm: 0.30 | dt: 12507.25ms | tok/sec: 654 | mfu: 0.14 | epoch: 1 | total time: 0.00m
step 00010 (3.33%) | loss: 5.267595 | lrm: 0.33 | dt: 15489.04ms | tok/sec: 528 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00011 (3.67%) | loss: 5.502570 | lrm: 0.37 | dt: 13073.24ms | tok/sec: 626 | mfu: 0.13 | epoch: 1 | total time: 0.22m
