Autodetected device type: cuda
2026-02-11 15:07:54,010 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/sun0115/.netrc.
wandb: Currently logged in as: sunshines (sunshines-gmail-com) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /home/sun0115/nanochat-learn/nanochat/wandb/run-20260211_150754-nt9p2txo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sft_d18_20k_safe
wandb: ⭐️ View project at https://wandb.ai/sunshines-gmail-com/nanochat-sft
wandb: 🚀 View run at https://wandb.ai/sunshines-gmail-com/nanochat-sft/runs/nt9p2txo
2026-02-11 15:07:55,140 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/sun0115/.cache/nanochat/base_checkpoints/d18 with step 20000
2026-02-11 15:07:56,212 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 512, 'vocab_size': 32768, 'n_layer': 18, 'n_head': 18, 'n_kv_head': 18, 'n_embd': 1152, 'window_pattern': 'L'}
Tokens / micro-batch / rank: 4 x 2048 = 8,192
Tokens / micro-batch: 8,192
Total batch size 8,192 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1152/768) = 0.816497
Using AdamW-only mode for fine-tuning (no Muon)
Step 00000 | Validation bpb: 1.0861
step 00001 (0.33%) | loss: 1.832063 | lrm: 0.03 | dt: 5312.07ms | tok/sec: 1,542 | mfu: 0.32 | epoch: 1 | total time: 0.00m
step 00002 (0.67%) | loss: 2.434801 | lrm: 0.07 | dt: 18182.06ms | tok/sec: 450 | mfu: 0.09 | epoch: 1 | total time: 0.00m
step 00003 (1.00%) | loss: 2.667879 | lrm: 0.10 | dt: 13144.86ms | tok/sec: 623 | mfu: 0.13 | epoch: 1 | total time: 0.00m
step 00004 (1.33%) | loss: 3.299498 | lrm: 0.13 | dt: 12783.43ms | tok/sec: 640 | mfu: 0.13 | epoch: 1 | total time: 0.00m
step 00005 (1.67%) | loss: 3.564611 | lrm: 0.17 | dt: 16030.79ms | tok/sec: 511 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00006 (2.00%) | loss: 4.236035 | lrm: 0.20 | dt: 12768.97ms | tok/sec: 641 | mfu: 0.13 | epoch: 1 | total time: 0.00m
step 00007 (2.33%) | loss: 4.275773 | lrm: 0.23 | dt: 15734.32ms | tok/sec: 520 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00008 (2.67%) | loss: 5.159076 | lrm: 0.27 | dt: 12981.56ms | tok/sec: 631 | mfu: 0.13 | epoch: 1 | total time: 0.00m
step 00009 (3.00%) | loss: 5.126921 | lrm: 0.30 | dt: 12956.99ms | tok/sec: 632 | mfu: 0.13 | epoch: 1 | total time: 0.00m
step 00010 (3.33%) | loss: 5.267102 | lrm: 0.33 | dt: 15674.49ms | tok/sec: 522 | mfu: 0.11 | epoch: 1 | total time: 0.00m
step 00011 (3.67%) | loss: 5.503285 | lrm: 0.37 | dt: 12520.65ms | tok/sec: 654 | mfu: 0.14 | epoch: 1 | total time: 0.21m
