2026-02-10 11:56:06,247 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-02-10 11:56:06,252 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/sun0115/.cache/nanochat/base_checkpoints/d18 with step 5000
2026-02-10 11:56:07,918 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 512, 'vocab_size': 32768, 'n_layer': 18, 'n_head': 18, 'n_kv_head': 18, 'n_embd': 1152, 'window_pattern': 'L'}
2026-02-10 11:56:35,680 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved model parameters to: /home/sun0115/.cache/nanochat/chatsft_checkpoints/d18_5k/best/model_000000.pt
2026-02-10 11:56:35,680 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved metadata to: /home/sun0115/.cache/nanochat/chatsft_checkpoints/d18_5k/best/meta_000000.json
Autodetected device type: cuda
Tokens / micro-batch / rank: 4 x 2048 = 8,192
Tokens / micro-batch: 8,192
Total batch size 8,192 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1152/768) = 0.816497
Using AdamW-only mode for fine-tuning (no Muon)
Step 00000 | Validation bpb: 1.0125
Saved best checkpoint at step 0 (val_bpb=1.0125)
step 00001 (0.20%) | loss: 1.748501 | lrm: 0.02 | dt: 6183.05ms | tok/sec: 1,324 | mfu: 0.28 | epoch: 1 | total time: 0.00m
step 00002 (0.40%) | loss: 3.382955 | lrm: 0.04 | dt: 21100.40ms | tok/sec: 388 | mfu: 0.08 | epoch: 1 | total time: 0.00m
step 00003 (0.60%) | loss: 4.396254 | lrm: 0.06 | dt: 29410.33ms | tok/sec: 278 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00004 (0.80%) | loss: 6.500361 | lrm: 0.08 | dt: 28918.21ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00005 (1.00%) | loss: 6.889189 | lrm: 0.10 | dt: 28897.92ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00006 (1.20%) | loss: 7.718038 | lrm: 0.12 | dt: 28985.12ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00007 (1.40%) | loss: 9.388944 | lrm: 0.14 | dt: 28981.22ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00008 (1.60%) | loss: 9.632657 | lrm: 0.16 | dt: 28906.95ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00009 (1.80%) | loss: 9.387483 | lrm: 0.18 | dt: 28918.68ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00010 (2.00%) | loss: 9.612652 | lrm: 0.20 | dt: 28904.25ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 0.00m
step 00011 (2.20%) | loss: 9.702966 | lrm: 0.22 | dt: 28940.89ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 0.48m
