2026-03-27 11:29:38,771 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/sun0115/.netrc.
wandb: Currently logged in as: sunshines (sunshines-gmail-com) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kdsrbko5
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /home/sun0115/nanochat-learn/nanochat/wandb/run-20260327_112939-kdsrbko5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run d24_r32_lora_nextbest_2026-03-27_1129_s1536_gc
wandb: ⭐️ View project at https://wandb.ai/sunshines-gmail-com/nanochat-sft
wandb: 🚀 View run at https://wandb.ai/sunshines-gmail-com/nanochat-sft/runs/kdsrbko5
2026-03-27 11:29:40,220 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/sun0115/.cache/nanochat/base_checkpoints/d24_asp48_track with step 820230
2026-03-27 11:29:42,113 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 32768, 'n_layer': 24, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 1152, 'window_pattern': 'L'}
Gradient checkpointing enabled (activation recomputation in backward)
Skipping torch.compile in LoRA mode for stability
LoRA enabled: rank=64, alpha=128.0
Applied LoRA to 120 layers
Trainable params: 23,003,136 / 933,694,896 (2.46%)
Skipping torch.compile in LoRA mode for stability
Tokens / micro-batch / rank: 1 x 1536 = 1,536
Tokens / micro-batch: 1,536
Total batch size 7,680 => gradient accumulation steps: 5
Using AdamW optimizer for LoRA params with lr=0.0001
Generating train split:   0%|          | 0/7473 [00:00<?, ? examples/s]Generating train split: 100%|██████████| 7473/7473 [00:00<00:00, 388517.45 examples/s]
Generating test split:   0%|          | 0/1319 [00:00<?, ? examples/s]Generating test split: 100%|██████████| 1319/1319 [00:00<00:00, 404377.38 examples/s]
Step 00000 | Validation bpb: 0.7434
step 00001 (0.10%) | loss: 1.045844 | lrm: 0.01 | dt: 1121.80ms | tok/sec: 6,846 | mfu: 2.31 | epoch: 1 | total time: 0.00m
step 00002 (0.20%) | loss: 1.383611 | lrm: 0.01 | dt: 1027.84ms | tok/sec: 7,471 | mfu: 2.52 | epoch: 1 | total time: 0.00m
step 00003 (0.30%) | loss: 1.762541 | lrm: 0.01 | dt: 731.73ms | tok/sec: 10,495 | mfu: 3.54 | epoch: 1 | total time: 0.00m
step 00004 (0.40%) | loss: 1.817085 | lrm: 0.02 | dt: 906.98ms | tok/sec: 8,467 | mfu: 2.86 | epoch: 1 | total time: 0.00m
step 00005 (0.50%) | loss: 1.890556 | lrm: 0.02 | dt: 908.57ms | tok/sec: 8,452 | mfu: 2.85 | epoch: 1 | total time: 0.00m
step 00006 (0.60%) | loss: 1.968909 | lrm: 0.03 | dt: 904.66ms | tok/sec: 8,489 | mfu: 2.86 | epoch: 1 | total time: 0.00m
step 00007 (0.70%) | loss: 2.005380 | lrm: 0.03 | dt: 1031.05ms | tok/sec: 7,448 | mfu: 2.51 | epoch: 1 | total time: 0.00m
step 00008 (0.80%) | loss: 2.003519 | lrm: 0.04 | dt: 727.64ms | tok/sec: 10,554 | mfu: 3.56 | epoch: 1 | total time: 0.00m
step 00009 (0.90%) | loss: 2.016865 | lrm: 0.04 | dt: 904.18ms | tok/sec: 8,493 | mfu: 2.87 | epoch: 1 | total time: 0.00m
step 00010 (1.00%) | loss: 2.241082 | lrm: 0.05 | dt: 904.95ms | tok/sec: 8,486 | mfu: 2.86 | epoch: 1 | total time: 0.00m
step 00011 (1.10%) | loss: 2.256391 | lrm: 0.05 | dt: 905.48ms | tok/sec: 8,481 | mfu: 2.86 | epoch: 1 | total time: 0.02m
step 00012 (1.20%) | loss: 2.313904 | lrm: 0.06 | dt: 1038.74ms | tok/sec: 7,393 | mfu: 2.49 | epoch: 1 | total time: 0.03m
step 00013 (1.30%) | loss: 2.365822 | lrm: 0.06 | dt: 905.95ms | tok/sec: 8,477 | mfu: 2.86 | epoch: 1 | total time: 0.05m
step 00014 (1.40%) | loss: 2.370231 | lrm: 0.07 | dt: 918.06ms | tok/sec: 8,365 | mfu: 2.82 | epoch: 1 | total time: 0.06m
